Subject	shword	Resp	RT	step	sword	TrialCount	wavfile	which	Sresp	StepNum
207	conshert	5	1548	step7	concert	112	Continuua/concert_conshert/stimulus007.wav	one	5	7
207	shofa	5	681	step2	sofa	113	Continuua/sofa_shofa/stimulus002.wav	one	5	2
207	shafari	1	840	step8	safari	114	Continuua/safari_shafari/stimulus008.wav	one	5	8
207	shidewalk	5	659	step1	sidewalk	115	Continuua/sidewalk_shidewalk/stimulus001.wav	one	5	1
207	foshil	1	1752	step9	fossil	116	Continuua/fossil_foshil/stimulus009.wav	one	5	9
207	faushet	1	752	step7	faucet	117	Continuua/faucet_faushet/stimulus007.wav	one	5	7
207	mishile	5	641	step2	missile	118	Continuua/missile_mishile/stimulus002.wav	one	5	2
207	shock	5	709	step2	sock	119	Continuua/sock_shock/stimulus002.wav	both	5	2
207	conshert	1	691	step8	concert	120	Continuua/concert_conshert/stimulus008.wav	one	5	8
207	foshil	5	829	step5	fossil	121	Continuua/fossil_foshil/stimulus005.wav	one	5	5
207	shin	1	847	step11	sin	122	Continuua/sin_shin/stimulus011.wav	both	5	11
207	shin	1	615	step10	sin	123	Continuua/sin_shin/stimulus010.wav	both	5	10
207	shy	1	731	step11	sigh	124	Continuua/sigh_shy/stimulus011.wav	both	5	11
207	whishtle	1	774	step10	whistle	125	Continuua/whistle_whishle/stimulus010.wav	one	5	10
207	shilver	5	1878	step1	silver	126	Continuua/silver_shilver/stimulus001.wav	one	5	1
207	sheremony	1	3188	step7	ceremony	127	Continuua/ceremony_sheremony/stimulus007.wav	one	5	7
207	dansher	1	789	step9	dancer	128	Continuua/dancer_dansher/stimulus009.wav	one	5	9
207	takshi	5	678	step4	taxi	129	Continuua/taxi_takshi/stimulus004.wav	one	5	4
207	faushet	1	828	step8	faucet	130	Continuua/faucet_faushet/stimulus008.wav	one	5	8
207	cashtle	1	771	step9	castle	131	Continuua/castle_cashle/stimulus009.wav	one	5	9
207	shack	1	747	step11	sack	132	Continuua/sack_shack/stimulus011.wav	both	5	11
207	cashtle	5	629	step2	castle	133	Continuua/castle_cashle/stimulus002.wav	one	5	2
207	galakshy	5	768	step4	galaxy	134	Continuua/galaxy_galakshy/stimulus004.wav	one	5	4
207	cashtle	5	933	step6	castle	135	Continuua/castle_cashle/stimulus006.wav	one	5	6
207	sheremony	5	768	step5	ceremony	136	Continuua/ceremony_sheremony/stimulus005.wav	one	5	5
207	shatellite	1	694	step11	satellite	137	Continuua/satellite_shatellite/stimulus011.wav	one	5	11
207	mishile	5	1436	step7	missile	138	Continuua/missile_mishile/stimulus007.wav	one	5	7
207	sheminar	5	846	step5	seminar	139	Continuua/seminar_sheminar/stimulus005.wav	one	5	5
207	shatellite	5	958	step6	satellite	140	Continuua/satellite_shatellite/stimulus006.wav	one	5	6
207	dansher	1	837	step6	dancer	141	Continuua/dancer_dansher/stimulus006.wav	one	5	6
207	shaddle	5	811	step2	saddle	142	Continuua/saddle_shaddle/stimulus002.wav	one	5	2
207	faushet	5	713	step1	faucet	143	Continuua/faucet_faushet/stimulus001.wav	one	5	1
207	shector	1	700	step11	sector	144	Continuua/sector_shector/stimulus011.wav	one	5	11
207	shock	5	647	step1	sock	145	Continuua/sock_shock/stimulus001.wav	both	5	1
207	cashtle	5	816	step3	castle	146	Continuua/castle_cashle/stimulus003.wav	one	5	3
207	sheminar	1	702	step8	seminar	147	Continuua/seminar_sheminar/stimulus008.wav	one	5	8
207	shettlement	1	721	step7	settlement	148	Continuua/settlement_shettlement/stimulus007.wav	one	5	7
207	shock	1	662	step9	sock	149	Continuua/sock_shock/stimulus009.wav	both	5	9
207	takshi	5	955	step7	taxi	150	Continuua/taxi_takshi/stimulus007.wav	one	5	7
207	curshor	5	909	step7	cursor	151	Continuua/cursor_curshor/stimulus007.wav	one	5	7
207	shilver	1	852	step9	silver	152	Continuua/silver_shilver/stimulus009.wav	one	5	9
207	shofa	5	827	step4	sofa	153	Continuua/sofa_shofa/stimulus004.wav	one	5	4
207	curtshy	5	686	step3	curtsy	154	Continuua/curtsy_curtshy/stimulus003.wav	one	5	3
207	shack	1	770	step6	sack	155	Continuua/sack_shack/stimulus006.wav	both	5	6
207	shettlement	1	677	step10	settlement	156	Continuua/settlement_shettlement/stimulus010.wav	one	5	10
207	takshi	5	735	step2	taxi	157	Continuua/taxi_takshi/stimulus002.wav	one	5	2
207	mishile	1	655	step9	missile	158	Continuua/missile_mishile/stimulus009.wav	one	5	9
207	shin	5	592	step3	sin	159	Continuua/sin_shin/stimulus003.wav	both	5	3
207	shock	5	559	step4	sock	160	Continuua/sock_shock/stimulus004.wav	both	5	4
207	sheiling	5	1146	step6	ceiling	161	Continuua/ceiling_sheiling/stimulus006.wav	one	5	6
207	galakshy	1	1009	step10	galaxy	162	Continuua/galaxy_galakshy/stimulus010.wav	one	5	10
